word,source_grade_hint,normalized_band,source_list,rank,count,academic,pos,notes,preferred_band,beginner_score,intermediate_score,advanced_score,source_tags,source_files
a,K,k-5th grade,beginner_k_to_5,7,,false,det,tier1_dolch+dolch_preprimer+fry_overlap,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
aback,11,9-12,advanced_9_to_12,7002,304,false,n,tier3_bnc_coca+bnc_coca_band_8k+grade_estimate_11+general_or_nonacademic,advanced,2.298,8.498,28.748,advanced_seed,advanced_9_to_12.csv
abandon,7,6-8,intermediate_6_to_8,1965,37,false,n,tier1_ngsl_general+ngsl_rank_1965+grade_estimate_7,intermediate,4.003,29.338,9.17,intermediate_seed,intermediate_6_to_8.csv
abate,10,9-12,advanced_9_to_12,6002,359,false,v,tier3_bnc_coca+bnc_coca_band_7k+grade_estimate_10+general_or_nonacademic,advanced,2.34,9.054,30.197,advanced_seed,advanced_9_to_12.csv
abbey,9,9-12,advanced_9_to_12,4001,2022,false,n,tier3_bnc_coca+bnc_coca_band_5k+grade_estimate_9+general_or_nonacademic,advanced,2.785,11.146,30.316,advanced_seed,advanced_9_to_12.csv
abbot,11,9-12,advanced_9_to_12,8002,718,false,n,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,2.517,8.79,29.003,advanced_seed,advanced_9_to_12.csv
abbreviate,10,9-12,advanced_9_to_12,6003,434,false,v,tier3_bnc_coca+bnc_coca_band_7k+grade_estimate_10+general_or_nonacademic,advanced,1.588,9.118,30.953,advanced_seed,advanced_9_to_12.csv
abdicate,11,9-12,advanced_9_to_12,8003,265,false,v,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,1.464,8.951,30.808,advanced_seed,advanced_9_to_12.csv
abdomen,9,9-12,advanced_9_to_12,4002,835,false,v,tier3_bnc_coca+bnc_coca_band_5k+grade_estimate_9+general_or_nonacademic,advanced,1.756,10.341,30.049,advanced_seed,advanced_9_to_12.csv
abdominal,8,6-8,intermediate_6_to_8,777,12,true,adj,tier2_nawl_academic+nawl_rank_777+grade_estimate_8,intermediate,5.805,29.574,11.64,intermediate_seed,intermediate_6_to_8.csv
abduct,10,9-12,advanced_9_to_12,5001,503,false,v,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+general_or_nonacademic,advanced,2.426,10.668,29.897,advanced_seed,advanced_9_to_12.csv
aberration,11,9-12,advanced_9_to_12,8004,187,false,n,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,1.377,8.836,30.706,advanced_seed,advanced_9_to_12.csv
abhor,11,9-12,advanced_9_to_12,7004,229,false,n,tier3_bnc_coca+bnc_coca_band_8k+grade_estimate_11+general_or_nonacademic,advanced,2.227,8.403,28.665,advanced_seed,advanced_9_to_12.csv
abide,10,9-12,advanced_9_to_12,5002,657,false,n,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+general_or_nonacademic,advanced,2.494,10.759,29.977,advanced_seed,advanced_9_to_12.csv
ability,6,6-8,intermediate_6_to_8,779,123,false,n,tier1_ngsl_general+ngsl_rank_779+grade_estimate_6,intermediate,8.274,29.199,8.887,intermediate_seed,intermediate_6_to_8.csv
abject,12,9-12,advanced_9_to_12,9002,139,false,adj,tier3_bnc_coca+bnc_coca_band_10k+grade_estimate_12+general_or_nonacademic,advanced,2.104,8.239,28.521,advanced_seed,advanced_9_to_12.csv
